family,offered_load,threshold,dwell,algorithm,static_median,other_median,median_difference,p_value,cliffs_delta,static_lower,n_pairs,p_holm,effect,significant
scale_free,0.9,0.75,3,orbit,61.5,136.5,76.0,1.7191759138770554e-06,1.0,True,30,0.0011285583997060354,large,True
scale_free,0.9,0.75,5,spf-reconverge,61.5,136.0,75.0,1.7159286750586906e-06,1.0,True,30,0.0011285583997060354,large,True
scale_free,0.9,0.75,5,ecmp,61.5,125.5,67.5,1.7170105183845441e-06,1.0,True,30,0.0011285583997060354,large,True
scale_free,0.9,0.75,5,cspf,61.5,135.0,73.0,1.7137666960733877e-06,1.0,True,30,0.0011285583997060354,large,True
scale_free,0.9,0.75,5,orbit,61.5,136.5,76.0,1.7191759138770554e-06,1.0,True,30,0.0011285583997060354,large,True
scale_free,0.9,0.75,10,spf-reconverge,61.5,136.0,73.0,1.7170105183845441e-06,1.0,True,30,0.0011285583997060354,large,True
scale_free,0.9,0.75,10,ecmp,61.5,125.5,67.5,1.7159286750586906e-06,1.0,True,30,0.0011285583997060354,large,True
scale_free,0.9,0.75,10,cspf,61.5,135.0,71.5,1.7083716990437344e-06,1.0,True,30,0.0011285583997060354,large,True
scale_free,0.9,0.75,10,orbit,61.5,136.0,74.0,1.712686559944352e-06,1.0,True,30,0.0011285583997060354,large,True
scale_free,0.9,0.75,20,spf-reconverge,61.5,136.0,75.0,1.714847401033251e-06,1.0,True,30,0.0011285583997060354,large,True
scale_free,0.9,0.75,20,ecmp,61.5,126.5,66.5,1.7159286750586906e-06,1.0,True,30,0.0011285583997060354,large,True
scale_free,0.9,0.75,20,cspf,61.5,134.5,71.5,1.7083716990437344e-06,1.0,True,30,0.0011285583997060354,large,True
scale_free,0.9,0.75,20,orbit,61.5,136.5,74.5,1.7235135468062213e-06,1.0,True,30,0.0011285583997060354,large,True
scale_free,0.9,0.75,40,spf-reconverge,57.0,121.0,64.0,1.707294403549849e-06,1.0,True,30,0.0011285583997060354,large,True
scale_free,0.9,0.75,40,ecmp,57.0,118.5,63.0,1.7008425382861862e-06,1.0,True,30,0.0011285583997060354,large,True
scale_free,0.9,0.75,40,cspf,57.0,118.5,61.0,1.7224282827430733e-06,1.0,True,30,0.0011285583997060354,large,True
scale_free,0.9,0.75,40,orbit,57.0,124.5,69.0,1.6976242500698797e-06,1.0,True,30,0.0011285583997060354,large,True
scale_free,0.9,0.8,1,spf-reconverge,57.5,132.0,75.0,1.711606992411454e-06,1.0,True,30,0.0011285583997060354,large,True
scale_free,0.9,0.8,1,ecmp,57.5,126.5,69.5,1.7137666960733877e-06,1.0,True,30,0.0011285583997060354,large,True
scale_free,0.9,0.8,1,cspf,57.5,129.0,70.5,1.7256857880058036e-06,1.0,True,30,0.0011285583997060354,large,True
scale_free,0.9,0.8,1,orbit,57.5,131.0,74.5,1.7191759138770554e-06,1.0,True,30,0.0011285583997060354,large,True
scale_free,0.9,0.8,3,spf-reconverge,57.5,132.0,75.0,1.711606992411454e-06,1.0,True,30,0.0011285583997060354,large,True
scale_free,0.9,0.8,3,ecmp,57.5,119.5,66.5,1.7224282827430733e-06,1.0,True,30,0.0011285583997060354,large,True
scale_free,0.9,0.8,3,cspf,57.5,129.0,70.5,1.7256857880058036e-06,1.0,True,30,0.0011285583997060354,large,True
scale_free,0.9,0.8,3,orbit,57.5,131.0,74.5,1.7191759138770554e-06,1.0,True,30,0.0011285583997060354,large,True
scale_free,0.9,0.8,5,spf-reconverge,57.5,132.0,75.0,1.711606992411454e-06,1.0,True,30,0.0011285583997060354,large,True
scale_free,0.9,0.8,5,ecmp,57.5,119.0,65.5,1.7245993818153558e-06,1.0,True,30,0.0011285583997060354,large,True
